time,ch1_thermo
-0.0190067,0.58
-0.0190035,0.58
-0.0190003,0.58
-0.0189971,0.58
-0.0189939,0.58
-0.0189907,0.58
-0.0189875,0.58
-0.0189843,0.58
-0.0189811,0.58
-0.0189779,0.58
-0.0189747,0.58
-0.0189715,0.58
-0.0189683,0.62
-0.0189651,0.58
-0.0189619,0.58
-0.0189587,0.58
-0.0189555,0.62
-0.0189523,0.58
-0.0189491,0.58
-0.0189459,0.58
-0.0189427,0.58
-0.0189395,0.58
-0.0189363,0.58
-0.0189331,0.58
-0.0189299,0.58
-0.0189267,0.62
-0.0189235,0.58
-0.0189203,0.58
-0.0189171,0.58
-0.0189139,0.58
-0.0189107,0.58
-0.0189075,0.58
-0.0189043,0.62
-0.0189011,0.58
-0.0188979,0.58
-0.0188947,0.58
-0.0188915,0.58
-0.0188883,0.62
-0.0188851,0.58
-0.0188819,0.58
-0.0188787,0.58
-0.0188755,0.58
-0.0188723,0.58
-0.0188691,0.58
-0.0188659,0.58
-0.0188627,0.58
-0.0188595,0.58
-0.0188563,0.58
-0.0188531,0.58
-0.0188499,0.58
-0.0188467,0.58
-0.0188435,0.58
-0.0188403,0.58
-0.0188371,0.58
-0.0188339,0.58
-0.0188307,0.58
-0.0188275,0.58
-0.0188243,0.58
-0.0188211,0.62
-0.0188179,0.58
-0.0188147,0.58
-0.0188115,0.58
-0.0188083,0.58
-0.0188051,0.62
-0.0188019,0.58
-0.0187987,0.58
-0.0187955,0.58
-0.0187923,0.58
-0.0187891,0.58
-0.0187859,0.58
-0.0187827,0.58
-0.0187795,0.58
-0.0187763,0.62
-0.0187731,0.58
-0.0187699,0.58
-0.0187667,0.58
-0.0187635,0.58
-0.0187603,0.54
-0.0187571,0.62
-0.0187539,0.58
-0.0187507,0.58
-0.0187475,0.58
-0.0187443,0.58
-0.0187411,0.62
-0.0187379,0.58
-0.0187347,0.58
-0.0187315,0.58
-0.0187283,0.58
-0.0187251,0.62
-0.0187219,0.58
-0.0187187,0.58
-0.0187155,0.58
-0.0187123,0.62
-0.0187091,0.58
-0.0187059,0.54
-0.0187027,0.58
-0.0186995,0.58
-0.0186963,0.58
-0.0186931,0.58
-0.0186899,0.58
-0.0186867,0.62
-0.0186835,0.58
-0.0186803,0.58
-0.0186771,0.58
-0.0186739,0.58
-0.0186707,0.58
-0.0186675,0.62
-0.0186643,0.58
-0.0186611,0.58
-0.0186579,0.62
-0.0186547,0.58
-0.0186515,0.58
-0.0186483,0.58
-0.0186451,0.58
